StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Year,Housing,Housing_8_TEXT,Transfer,Gender,Gender_5_TEXT,International,Accessibility,"Used Methods ","Walk to Bus Time ","Commute Time ","Days on Campus ",Bus Pass Impact,"Class Pass Fee Know ","Support Class Pass ","BART Pilot ",Clipper Card Value ,"Summer in Berkeley ","Fall Free Freq ","Fall Free Freq Conf ",Fall Full Freq,"Fall Full Freq Conf ","Fall Half Freq ","Fall Half Freq Conf ",Q69,Sum Free Freq,Sum Free Freq Conf,Sum Full Freq ,Sum Full Freq Conf ,Sum Half Freq,Sum Half Freq Conf,Sprng Free Freq,Sprng Free Freq Conf,Sprng Full Freq ,Sprng Full Freq Conf,Sprng Half Freq,Sprng Half Freq Conf
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What year are you in school at UC Berkeley?,Which of the following describes your current living circumstances? - Selected Choice,"Which of the following describes your current living circumstances? - Other, Please Specify: - Text",Are you a transfer student?,What is your gender identity? (select all that apply) - Selected Choice,What is your gender identity? (select all that apply) - Other not listed: - Text,Are you an international student?,What is your proximity to the nearest bus stop?,Select the transportation method(s) you use for a regular commute,"When taking the AC transit bus to campus, how long does it typically take for you to walk from where you got off the bus to your final destination? (minutes)","When taking the AC transit bus to campus, how long does your entire commute typically take? (minutes)","On average, how many days a week do you come to campus?",Has having the free bus pass affected your transit usage?,Do you know what the class pass fee is?,"The class pass fee is a $105 semesterly fee, where $48 goes towards the AC Transit Student EasyPass, $22 goes towards the Bear Transit, and $35 goes to financial aid. Do you support the class pass fee?",Are you a part of the free BART pilot program?,How much would you personally pay for the AC Transit Student EasyPass by itself? (per semester in dollars),Were you in Berkeley in the Summer 2023 semester?,"On a typical week in the Fall 2023 semester, how many bus rides did you take?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Fall 2023 semester, how many bus rides would you have taken if all bus rides were $2.25 (market price)?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Fall 2023 semester, how many bus rides would you have taken if all bus rides were $1.13 (50% subsidy)?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),Please select choice 2,"On a typical week in the Summer 2023 semester, how many bus rides did you take?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Summer 2023 semester, how many bus rides would you have taken if all bus rides were $2.25? (market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Summer 2023 semester, how many bus rides would you have taken if all bus rides were $1.13 (50% subsidy)?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester (this semester), how many bus rides did you take?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester, how many bus rides would you have taken if all bus rides were $2.25? (market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester, how many bus rides would you have taken if all bus rides were $1.13? (50% subsidy)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_5_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID53""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID1""}","{""ImportId"":""QID32""}","{""ImportId"":""QID23""}","{""ImportId"":""QID35""}","{""ImportId"":""QID5""}","{""ImportId"":""QID36""}","{""ImportId"":""QID94""}","{""ImportId"":""QID16""}","{""ImportId"":""QID37""}","{""ImportId"":""QID18""}","{""ImportId"":""QID38""}","{""ImportId"":""QID17""}","{""ImportId"":""QID39""}","{""ImportId"":""QID19""}","{""ImportId"":""QID40""}","{""ImportId"":""QID20""}","{""ImportId"":""QID41""}","{""ImportId"":""QID21""}","{""ImportId"":""QID42""}"
2024-03-11 21:22:00,2024-03-11 21:23:17,Survey Preview,,100,77,True,2024-03-11 21:23:18,R_3e3TNmLE2hZ9V6B,,,,,37.8736,-122.257,preview,EN,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
2024-03-12 15:46:31,2024-03-12 15:47:44,IP Address,136.152.209.156,100,73,True,2024-03-12 15:47:45,R_1soge7ttkxZzJqY,,,,,37.8657,-122.2571,anonymous,EN,,,,,,,,,,,,,,,,,,,4,,11,,16,,,2,,14,,14,,4,,12,,3,
2024-03-13 13:41:15,2024-03-13 13:52:25,IP Address,72.105.138.128,100,669,True,2024-03-13 13:52:25,R_3sA3KrvJVEcMY6y,,,,,37.6403,-122.0667,anonymous,EN,Senior (4+ year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,,,3,,,,,,,7,3,4,,5,,,,,,,,,,,,,,
2024-03-13 20:36:08,2024-03-13 20:38:08,IP Address,135.180.119.6,100,120,True,2024-03-13 20:38:08,R_3K2nT9gmqJL0nWR,,,,,37.8637,-122.276,anonymous,EN,Sophomore (2nd year),Campus-operated apartments / suites,,,,,,,,14,15 - 20,1,,,,,,,,,,,,,,,4,,,,,,,,,,
2024-03-13 20:42:59,2024-03-13 20:43:28,IP Address,135.180.119.6,100,29,True,2024-03-13 20:43:29,R_5zuUjl9FTcR8LAV,,,,,37.8637,-122.276,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-15 10:27:25,2024-03-15 10:28:57,Survey Preview,,100,91,True,2024-03-15 10:28:58,R_3MDMn9EgKVR2MXC,,,,,37.9269,-122.3313,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-13 13:52:31,2024-03-13 13:52:52,IP Address,72.105.138.128,46,21,False,2024-03-20 13:52:54,R_5OQ8u9nij3VNyY9,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 20:22:13,2024-03-20 20:26:13,IP Address,107.116.89.125,100,240,True,2024-03-20 20:26:14,R_1eVvPrimjpO1i69,,,,,37.7506,-122.4121,anonymous,EN,Junior (3rd year),Other residence in Berkeley (e.g. house/apartment),,,,,,,,5,10 - 15,6,,,,,,,16,2,8,2,10,3,,0,5,7,3,0,2,10,4,12,2,12,4
