StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Year,Transfer,Gender,Gender_5_TEXT,International,Housing,Housing_8_TEXT,Used Methods ,Accessibility,Walk to Bus Time ,Commute Time ,Days on Campus ,Bus Pass Impact,Class Pass Fee Know ,Support Class Pass ,BART Pilot ,Clipper Card Value ,Q89,Q90,Q86,Q86_8_TEXT,Q87,free_Fall Free Freq ,free_Fall Free Freq Conf _conf,normal_Fall Full Freq,Fall Full Freq Conf _conf,half_Fall Half Freq ,Fall Half Freq Conf _conf,extra_Sprng Half Freq,Sprng Half Freq Conf_conf,double_Q102,conf_Q103,Q92,free_Sum Free Freq,free_Sum Free Freq Conf_conf,normal_Sum Full Freq ,Sum Full Freq Conf _conf,half_Sum Half Freq,Sum Half Freq Conf_conf,extra_Sprng Half Freq.1,Sprng Half Freq Conf.1_conf,Sprng Half Freq.2,Sprng Half Freq Conf.2_conf,free_Sprng Free Freq,free_Sprng Free Freq Conf_conf,normal_Sprng Full Freq ,Sprng Full Freq Conf_conf,half_Sprng Half Freq.3,Sprng Half Freq Conf.3_conf,extra_Sprng Half Freq.4,Sprng Half Freq Conf.4_conf,double_Sprng Half Freq.5,Sprng Half Freq Conf.5_conf
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What year are you in school at UC Berkeley?,Are you a transfer student?,What is your gender identity? (select all that apply) - Selected Choice,What is your gender identity? (select all that apply) - Other not listed: - Text,Are you an international student?,Which of the following describes your living circumstances? - Selected Choice,"Which of the following describes your living circumstances? - Other, Please Specify: - Text",Select the transportation method(s) you use for a regular commute,What is you proximity to the nearest bus stop?,"When taking the AC transit bus to campus, how long does it typically take for you to walk from where you got off the bus to your final destination? (minutes)","When taking the AC transit bus to campus, how long does your entire commute typically take? (minutes)","On average, how many days a week do you come to campus?",Has having the free bus pass affected your transit usage?,Do you know what the class pass fee is?,"The class pass fee is a $105 semesterly fee, where $48 goes towards the AC Transit Student EasyPass, $22 goes towards the Bear Transit, and $35 goes to financial aid. Do you support the class pass fee?",Are you a part of the free BART pilot program?,How much would you personally pay for the AC Transit Student EasyPass by itself? (per semester in dollars),Were you in Berkeley in the Spring 2024 semester?,Did you live somewhere else in Spring 2024 than your current residence?,Which of the following describes your living circumstances in Spring 2024? - Selected Choice,"Which of the following describes your living circumstances in Spring 2024? - Other, Please Specify: - Text",What was you proximity to the nearest bus stop Spring 2024?,"On a typical week in the Spring 2024 semester, how many bus rides did you take?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester, how many bus rides would you have taken if all bus rides were $2.25 (market price)?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester, how many bus rides would you have taken if all bus rides were $1.13 (50% subsidy)?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester, how many bus rides would you have taken if all bus rides were $3.37? (1.5x more than market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester, how many bus rides would you have taken if all bus rides were $5.50? (2x more than market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),Were you in Berkeley during the Summer 2024 semester?,"On a typical week in the Summer 2024 semester, how many bus rides did you take?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Summer 2024 semester, how many bus rides would you have taken if all bus rides were $2.25? (market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Summer 2024 semester, how many bus rides would you have taken if all bus rides were $1.13 (50% subsidy)?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester, how many bus rides would you have taken if all bus rides were $3.37? (1.5x more than market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Spring 2024 semester, how many bus rides would you have taken if all bus rides were $5.25? (2x more than market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Fall 2024 semester (this semester), how many bus rides did you take?",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Fall 2024 semester, how many bus rides would you have taken if all bus rides were $2.25? (market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Fall 2024 semester, how many bus rides would you have taken if all bus rides were $1.13? (50% subsidy)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Fall 2024 semester, how many bus rides would you have taken if all bus rides were $3.37? (1.5x more than market price))",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence),"On a typical week in the Fall 2024 semester, how many bus rides would you have taken if all bus rides were $5.50? (2x more than market price)",How sure are you of your answer? Rank your confidence from 1-5 (1 is least confidence and 5 is most confidence)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID24""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_5_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID71""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID53""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID111""}","{""ImportId"":""QID111_8_TEXT""}","{""ImportId"":""QID112""}","{""ImportId"":""QID1""}","{""ImportId"":""QID32""}","{""ImportId"":""QID23""}","{""ImportId"":""QID35""}","{""ImportId"":""QID5""}","{""ImportId"":""QID36""}","{""ImportId"":""QID105""}","{""ImportId"":""QID104""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID117""}","{""ImportId"":""QID16""}","{""ImportId"":""QID37""}","{""ImportId"":""QID18""}","{""ImportId"":""QID38""}","{""ImportId"":""QID17""}","{""ImportId"":""QID39""}","{""ImportId"":""QID107""}","{""ImportId"":""QID106""}","{""ImportId"":""QID109""}","{""ImportId"":""QID108""}","{""ImportId"":""QID19""}","{""ImportId"":""QID40""}","{""ImportId"":""QID20""}","{""ImportId"":""QID41""}","{""ImportId"":""QID21""}","{""ImportId"":""QID42""}","{""ImportId"":""QID99""}","{""ImportId"":""QID98""}","{""ImportId"":""QID101""}","{""ImportId"":""QID100""}"
10/8/2024 21:53,10/8/2024 21:56,Survey Preview,,100,157,TRUE,10/8/2024 21:56,R_3C5wxtg2H2rwFrP,,,,,37.8767,-122.2676,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2024 2:24,10/9/2024 2:24,Survey Preview,,100,42,TRUE,10/9/2024 2:24,R_3IrUvIY2vRrD3gd,,,,,37.7958,-122.4203,preview,EN,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
10/9/2024 22:52,10/9/2024 23:03,IP Address,135.180.134.68,100,651,TRUE,10/9/2024 23:03,R_6aZIOvf1dzwTF9n,,,,,37.8637,-122.276,anonymous,EN,Sophomore (2nd year),No,Male,,No,Other residence in Berkeley (e.g. house/apartment),,"AC Transit Bus,Walking",I live within a 5 minute walk of a stop,5,15-Oct,6,Yes,Yes,Yes,No,60 - 75 ,Yes,Yes,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,I live within a 3 minute walk of a stop,2,4,1,4,2,4,0,4,0,5,No,,,,,,,,,,,1,5,0,3,1,4,0,4,0,5
10/10/2024 19:54,10/10/2024 19:56,IP Address,136.152.214.76,100,144,TRUE,10/10/2024 19:56,R_5g5ctHLkx1twMZg,,,,,37.8657,-122.2571,anonymous,EN,Sophomore (2nd year),No,Male,,No,Other residence in Berkeley (e.g. house/apartment),,"Scooter,AC Transit Bus,Walking",I live within a 3 minute walk of a stop,3,10-May,5,No,Yes,No,No,0 - 15,Yes,Yes,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,I live within a 3 minute walk of a stop,3,5,0,5,2,5,0,,0,5,No,,,,,,,,,,,5,5,2,,3,5,0,,0,
10/14/2024 14:07,10/14/2024 15:14,IP Address,108.147.93.23,100,4000,TRUE,10/14/2024 15:14,R_7Bf2EwrY6gBnlO9,,,,,37.7585,-122.1856,anonymous,EN,Sophomore (2nd year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"Car,Walking",I live within a 3 minute walk of a stop,3,,5,No,No,Yes,No,0 - 15,Yes,No,,,,0,5,0,5,0,4,0,5,0,5,No,,,,,,,,,,,0,5,0,1,1,4,0,5,0,5
10/16/2024 12:20,10/16/2024 12:28,IP Address,136.152.214.169,100,452,TRUE,10/16/2024 12:28,R_72JNpg9yaCY7mJ0,,,,,37.8657,-122.2571,anonymous,EN,Freshman (1st year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Walking,BART",I live within a 3 minute walk of a stop,4,15 - 20,5,Yes,Yes,Yes,Yes,75 - 100 ,No,,,,,,,,,,,,,,,No,,,,,,,,,,,3,3,3,3,5,3,3,3,3,3
10/16/2024 12:46,10/16/2024 12:50,IP Address,192.184.170.158,100,242,TRUE,10/16/2024 12:50,R_3GaJct0rnitxfDr,,,,,37.8637,-122.276,anonymous,EN,Senior (4+ year),No,Male,,No,Sorority or fraternity,,Walking,I live within a 3 minute walk of a stop,,,5,Yes,No,No,Yes,15 - 30 ,Yes,No,,,,1,3,1,4,1,5,1,3,0,3,Yes,0,5,0,4,0,4,0,4,0,4,1,4,0,3,1,3,0,4,0,4
10/16/2024 17:45,10/16/2024 17:48,IP Address,136.152.214.249,100,224,TRUE,10/16/2024 17:48,R_5f0X8qUoI9MrR3y,,,,,37.8736,-122.257,anonymous,EN,Senior (4+ year),Yes,Male,,No,Other residence in Berkeley (e.g. house/apartment),,"Bike,AC Transit Bus,BART",I live within a 3 minute walk of a stop,1,0 - 5,4,Yes,No,No,No,45 - 60 ,Yes,Yes,Sorority or fraternity,,I live within a 3 minute walk of a stop,0,4,0,5,0,5,0,5,0,5,No,,,,,,,,,,,,,0,5,0,5,0,5,0,4
