StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q124,Q124_7_TEXT,Year,Transfer,Gender,Gender_5_TEXT,International,Housing,Housing_8_TEXT,Used Methods ,Accessibility,Walk to Bus Time ,Commute Time ,Days on Campus ,Bus Pass Impact,Class Pass Fee Know ,Support Class Pass ,Clipper Card Value ,free_fall_freq,free_fall_conf,normal_fall_freq,normal_fall_conf,half_fall_freq,half_fall_conf,extra_fall_freq,extra_fall_conf,double_fall_freq,double_fall_conf,free_spring_freq,free_spring_conf,normal_spring_freq,normal_spring_conf,half_spring_freq,half_spring_conf,extra_spring_freq,extra_spring_conf,double_spring_freq,double_spring_conf,Q118,free_sum_freq,free_sum_conf,normal_sum_freq,normal_sum_conf,half_sum_freq,half_sum_conf,extra_sum_freq,extra_sum_conf,double_sum_freq,double_sum_conf,Q132,Q136,Q122,Q130,Q130_6_TEXT,Q153,Q153_4_TEXT,Q154,Q154_2_TEXT,Q109,Q110,Q156,Q156_6_TEXT,Q112,Q112_4_TEXT,Q113,Q113_2_TEXT,avg_demand_free,n_observations_free,avg_demand_half,n_observations_half,avg_demand_normal,n_observations_normal,avg_demand_extra,n_observations_extra,avg_demand_double,n_observations_double
10/24/2024 10:44,10/24/2024 10:51,IP Address,75.7.2.139,100,404,TRUE,10/24/2024 10:51,R_365BBFyatAv2p9P,,,,,37.8611,-122.2564,anonymous,EN,Other (please specify):,,Freshman (1st year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"Car,Walking",I lived within a 3 minute walk of a stop,10,0 - 5,5,No,No,No,0 - 15,0,5,0,4,0,3,0,4,0,4,0,5,0,4,0,3,0,4,0,4,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,4,"Bart,CalTrain",,Travel,,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
10/24/2024 13:31,10/24/2024 13:34,IP Address,192.184.170.158,100,175,TRUE,10/24/2024 13:34,R_7PKlKH8FTzb9LHz,,,,,37.8657,-122.2571,anonymous,EN,From a friend,,Junior (3rd year),Yes,Male,,No,Other residence in Berkeley (e.g. house/apartment),,"Scooter,AC Transit Bus,Car",I lived within a 3 minute walk of a stop,4,15 - 20,2,Yes,Yes,Yes,0 - 15,1,5,1,5,3,5,1,5,0,5,0,5,2,5,0,5,2,5,1,5,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,5,"Bart,CalTrain,San Fransisco Bay Ferry,Sam Tran,Muni",,"Commuting to school/work,Accessing public services (e.g. airport)",,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,0.5,2,1.5,2,1.5,2,1.5,2,0.5,2
10/24/2024 13:29,10/24/2024 13:36,IP Address,136.152.214.227,100,395,TRUE,10/24/2024 13:36,R_5E0QEPb03lyyyBa,,,,,37.8657,-122.2571,anonymous,EN,From a friend,,Freshman (1st year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Walking,Campus Shuttle",I lived within a 3 minute walk of a stop,10,15 - 20,2,Yes,No,No,60 - 75 ,2,3,0,5,1,4,0,5,0,5,0,5,0,5,1,5,0,5,0,5,No,,,,,,,,,,,No,2,No,,,,,,,50 - 100,3,"Bart,San Fransisco Bay Ferry",,"Travel,Accessing public services (e.g. airport)",,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,1.0,2,1.0,2,0.0,2,0.0,2,0.0,2
10/24/2024 13:31,10/24/2024 13:43,IP Address,172.59.131.151,100,699,TRUE,10/24/2024 13:43,R_7CvSCp8lrwLsdBk,,,,,37.6736,-122.0944,anonymous,EN,From a friend,,Junior (3rd year),No,Male,,No,Sorority or fraternity,,Walking,I lived within a 3 minute walk of a stop,5,15-Oct,3,Yes,Yes,No,15 - 30 ,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,No,,,,,,,,,,,Yes,2,No,,,,,,,0 - 50,5,Bart,,"Travel,Accessing public services (e.g. airport)",,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
10/24/2024 13:43,10/24/2024 13:51,IP Address,136.152.214.190,100,469,TRUE,10/24/2024 13:51,R_3Q0miPmTABxBMMI,,,,,37.8657,-122.2571,anonymous,EN,From a friend,,Sophomore (2nd year),No,Female,,No,Other residence in Berkeley (e.g. house/apartment),,"AC Transit Bus,Walking",I lived within a 5 minute walk of a stop,5,10-May,5,Yes,No,Yes,15 - 30 ,10,4,3,4,5,5,2,5,0,5,10,4,2,4,6,5,3,4,1,5,No,,,,,,,,,,,No,2,No,,,,,,,0 - 50,4,"Bart,San Fransisco Bay Ferry",,"Travel,Accessing public services (e.g. airport)",,"San Francisco,North Bay (e.g. Marin County, Sausalito),East Bay (e.g. Berkeley, Oakland)",,10.0,2,5.5,2,2.5,2,2.5,2,0.5,2
10/24/2024 13:51,10/24/2024 13:56,IP Address,136.152.214.181,100,334,TRUE,10/24/2024 13:56,R_1uB9Ax9d6JybjFL,,,,,37.8657,-122.2571,anonymous,EN,From a friend,,Sophomore (2nd year),No,Female,,No,Sorority or fraternity,,"AC Transit Bus,Walking",I lived within a 3 minute walk of a stop,7,10-May,6,Yes,No,Yes,30 - 45 ,5,4,0,5,2,4,2,3,0,5,9,4,1,4,2,4,0,5,0,5,No,,,,,,,,,,,Yes,2,Yes,"Bart,Sam Tran,Muni,Other, Please Specify",cable car,"Travel,Accessing public services (e.g. airport)",,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,0 - 50,4,,,,,,,7.0,2,2.0,2,0.5,2,1.0,2,0.0,2
10/24/2024 14:04,10/24/2024 14:10,IP Address,157.131.89.162,100,341,TRUE,10/24/2024 14:10,R_3XdhFk2UkOzVHZS,,,,,37.8611,-122.2564,anonymous,EN,Other (please specify):,BER,Freshman (1st year),No,Male,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"AC Transit Bus,Walking",I lived within a 3 minute walk of a stop,5,10-May,5,Yes,Yes,Yes,125 - 150 ,3,4,2,4,3,4,1,4,0,5,3,4,1,4,3,4,0,5,0,5,No,,,,,,,,,,,Yes,2,No,,,,,,,250+,5,"Bart,CalTrain,Sam Tran",,"Travel,Accessing public services (e.g. airport)",,San Francisco,,3.0,2,3.0,2,1.5,2,0.5,2,0.0,2
10/24/2024 14:20,10/24/2024 14:23,IP Address,136.152.214.58,100,221,TRUE,10/24/2024 14:23,R_3qVgmITfN9CRjx5,,,,,37.8657,-122.2571,anonymous,EN,From a friend,,Freshman (1st year),No,Female,,No,"Campus-operated residential halls (i.e. congregate living ""dorms"")",,"Walking,BART",I lived within a 5 minute walk of a stop,5,10-May,0,Yes,Yes,Yes,75 - 100 ,1,5,1,2,2,3,1,1,1,1,0,5,2,2,2,2,1,1,0,3,No,,,,,,,,,,,No,2,No,,,,,,,50 - 100,3,"Bart,CalTrain",,"Commuting to school/work,Other, Please specify",Using it to visit my family back home.,"San Francisco,East Bay (e.g. Berkeley, Oakland)",,0.5,2,2.0,2,1.5,2,1.0,2,0.5,2
10/24/2024 13:58,10/24/2024 14:26,IP Address,136.152.214.61,100,1721,TRUE,10/24/2024 14:26,R_3v6o6DckH5PEpog,,,,,37.8657,-122.2571,anonymous,EN,Other (please specify):,Ber,Junior (3rd year),Yes,Male,,No,Other residence in Berkeley (e.g. house/apartment),,"AC Transit Bus,Walking,Campus Shuttle,BART",I lived within a 3 minute walk of a stop,5,20 - 30,6,Yes,Yes,Yes,30 - 45 ,17,4,4,4,10,4,0,5,0,5,10,3,5,2,10,4,0,4,0,5,Yes,10.0,5,4.0,4,5.0,4,0.0,4,0.0,5,No,2,No,,,,,,,50 - 100,4,"Bart,CalTrain,San Fransisco Bay Ferry,Muni",,"Commuting to school/work,Travel,Accessing public services (e.g. airport)",,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto),East Bay (e.g. Berkeley, Oakland)",,12.333333333333334,3,8.333333333333334,3,4.333333333333333,3,0.0,3,0.0,3
10/24/2024 15:02,10/24/2024 15:09,IP Address,95.244.7.116,100,376,TRUE,10/24/2024 15:09,R_8h90bff21e3mlKp,,,,,45.4722,9.1922,anonymous,EN,From a friend,,Junior (3rd year),No,Female,,No,Sorority or fraternity,,"AC Transit Bus,Walking",I lived within a 3 minute walk of a stop,10,15 - 20,6,Yes,No,Yes,30 - 45 ,5,3,3,3,5,3,3,3,2,3,5,3,3,3,7,3,4,3,4,3,Yes,10.0,3,7.0,3,10.0,3,6.0,3,7.0,3,No,2,No,,,,,,,50 - 100,3,"Bart,CalTrain,Muni",,"Commuting to school/work,Travel,Accessing public services (e.g. airport)",,"San Francisco,South Bay & Peninsula (e.g. San Jose, Palo Alto),North Bay (e.g. Marin County, Sausalito),East Bay (e.g. Berkeley, Oakland)",,6.666666666666667,3,7.333333333333333,3,4.333333333333333,3,4.333333333333333,3,4.333333333333333,3
